                         Title	Mean_Control	Mean_Test	Stdev_Control	Stdev_Test	Pearson_Correlation	Observed_Mean_Difference	Variance_of_Differences	t_Statistic	     P	Significance	Confidence_Interval_Control	Confidence_Interval_Test
           Experience of Unity	         3.6	     4.44	         7.66	   10.8398	             0.7322	                   -0.84	                54.5849	    -0.3595	0.7275	            	                     4.7476	                  6.7184
          Spiritual Experience	           0	      1.7	            0	    2.7552	                nan	                    -1.7	                 7.5914	    -1.9511	0.0828	            	                          0	                  1.7077
                Blissful State	      1.5667	        3	       3.3038	     3.969	              0.387	                 -1.4333	                16.5198	    -1.1152	0.2937	            	                     2.0477	                    2.46
                Insightfulness	      2.8667	   4.1667	       6.6726	    8.5883	             0.2047	                    -1.3	                94.8259	    -0.4222	0.6828	            	                     4.1356	                   5.323
                 Disembodiment	         5.1	  11.4667	      10.7486	   16.4048	              0.902	                 -6.3667	                66.5543	    -2.4679	0.0357	           *	                     6.6619	                 10.1676
Impaired Control and Cognition	      2.0571	   3.1857	       5.4337	    6.1993	             0.9374	                 -1.1286	                 4.8002	    -1.6289	0.1378	            	                     3.3678	                  3.8423
                       Anxiety	      0.5333	   4.8833	       0.9454	    6.1469	             0.5462	                   -4.35	                32.3299	    -2.4193	0.0387	           *	                      0.586	                  3.8098
               Complex Imagery	      1.4667	   1.8333	       3.7947	    5.7975	             0.9753	                 -0.3667	                 5.0975	    -0.5136	0.6199	            	                      2.352	                  3.5933
            Elementary Imagery	           0	   1.7333	            0	    3.6576	                nan	                 -1.7333	                13.3778	    -1.4986	0.1682	            	                          0	                  2.2669
      Audio-Visual Synesthesia	         4.4	   7.2667	       9.3714	   11.8184	             0.1817	                 -2.8667	               187.2395	    -0.6625	0.5243	            	                     5.8083	                   7.325
   Changed Meaning of Percepts	      9.1667	  11.7667	      16.8393	    18.522	             0.7602	                    -2.6	               152.4395	    -0.6659	0.5222	            	                    10.4369	                 11.4798
